date,adm2,cumulative_cases_reported,cumulative_deaths
2020-03-22,1218,0.0,0.0
2020-03-22,1219,0.0,0.0
2020-03-22,1301,0.0,0.0
2020-03-22,1302,0.0,0.0
2020-03-22,1303,0.0,0.0
2020-03-22,1304,0.0,0.0
2020-03-22,1305,0.0,0.0
2020-03-22,1306,0.0,0.0
2020-03-22,1307,0.0,0.0
2020-03-22,1308,0.0,0.0
2020-03-22,1309,0.0,0.0
2020-03-22,1310,0.0,0.0
2020-03-22,1311,0.0,0.0
2020-03-22,1401,0.0,0.0
2020-03-22,1402,0.0,0.0
2020-03-22,1403,0.0,0.0
2020-03-22,1404,0.0,0.0
2020-03-22,1405,0.0,0.0
2020-03-22,1406,0.0,0.0
2020-03-22,1407,0.0,0.0
2020-03-22,1408,0.0,0.0
2020-03-22,1409,0.0,0.0
2020-03-22,1410,0.0,0.0
2020-03-22,1411,0.0,0.0
2020-03-22,1412,0.0,0.0
2020-03-22,1413,0.0,0.0
2020-03-22,1501,0.0,0.0
2020-03-22,1502,0.0,0.0
2020-03-22,1503,0.0,0.0
2020-03-22,1504,0.0,0.0
2020-03-22,1505,0.0,0.0
2020-03-22,1506,0.0,0.0
2020-03-22,1507,0.0,0.0
2020-03-22,1508,0.0,0.0
2020-03-22,1509,0.0,0.0
2020-03-22,1510,0.0,0.0
2020-03-22,1511,0.0,0.0
2020-03-22,1512,0.0,0.0
2020-03-22,1513,0.0,0.0
2020-03-22,1514,0.0,0.0
2020-03-22,1515,0.0,0.0
2020-03-22,1601,0.0,0.0
2020-03-22,1602,0.0,0.0
2020-03-22,1603,0.0,0.0
2020-03-22,1604,0.0,0.0
2020-03-22,1605,0.0,0.0
2020-03-22,1606,0.0,0.0
2020-03-22,1607,0.0,0.0
2020-03-22,1608,0.0,0.0
2020-03-22,1701,0.0,0.0
2020-03-22,1702,0.0,0.0
2020-03-22,1703,0.0,0.0
2020-03-22,1704,0.0,0.0
2020-03-22,1705,0.0,0.0
2020-03-22,1706,0.0,0.0
2020-03-22,1707,0.0,0.0
2020-03-22,1708,0.0,0.0
2020-03-22,1709,0.0,0.0
2020-03-22,1710,0.0,0.0
2020-03-22,1711,0.0,0.0
2020-03-22,1712,0.0,0.0
2020-03-22,1713,0.0,0.0
2020-03-22,1714,0.0,0.0
2020-03-22,1715,0.0,0.0
2020-03-22,1716,0.0,0.0
2020-03-22,1717,0.0,0.0
2020-03-22,1718,0.0,0.0
2020-03-22,1719,0.0,0.0
2020-03-22,1720,0.0,0.0
2020-03-22,1721,0.0,0.0
2020-03-22,1722,0.0,0.0
2020-03-22,1723,0.0,0.0
2020-03-22,1724,0.0,0.0
2020-03-22,1725,0.0,0.0
2020-03-22,1726,0.0,0.0
2020-03-22,1727,0.0,0.0
2020-03-22,1728,0.0,0.0
2020-03-22,1801,0.0,0.0
2020-03-22,1802,0.0,0.0
2020-03-22,1803,0.0,0.0
2020-03-22,1804,0.0,0.0
2020-03-22,1805,0.0,0.0
2020-03-22,1806,0.0,0.0
2020-03-22,1807,0.0,0.0
2020-03-22,1808,0.0,0.0
2020-03-22,1809,0.0,0.0
2020-03-22,1810,0.0,0.0
2020-03-22,1811,0.0,0.0
2020-03-22,1812,0.0,0.0
2020-03-22,1813,0.0,0.0
2020-03-22,1814,0.0,0.0
2020-03-22,1815,0.0,0.0
2020-03-22,1816,0.0,0.0
2020-03-22,1817,0.0,0.0
2020-03-22,1901,0.0,0.0
2020-03-22,1902,0.0,0.0
2020-03-22,1903,0.0,0.0
2020-03-22,1904,0.0,0.0
2020-03-22,1905,0.0,0.0
2020-03-22,1906,0.0,0.0
2020-03-22,1907,0.0,0.0
2020-03-22,2001,0.7744511273010115,0.0
2020-03-22,2002,0.4907765746329629,0.0
2020-03-22,2003,0.3199077726003699,0.0
2020-03-22,2004,0.10907059620781714,0.0
2020-03-22,2005,0.3582686566667222,0.0
2020-03-22,2006,0.44218727338607855,0.0
2020-03-22,2007,0.5053379992050375,0.0
2020-03-22,2101,0.5832164999139369,0.29160824995696843
2020-03-22,2102,0.07727850515805189,0.03863925257902594
2020-03-22,2103,0.10552730251110316,0.052763651255551575
2020-03-22,2104,0.06760558752586769,0.03380279376293385
2020-03-22,2105,0.01690897425867605,0.008454487129338025
2020-03-22,2106,0.19457472185643804,0.09728736092821902
2020-03-22,2107,0.18068663681361136,0.09034331840680568
2020-03-22,2108,0.14671095271583615,0.07335547635791807
2020-03-22,2109,0.1630085971670797,0.08150429858353984
2020-03-22,2110,0.10900085041783228,0.05450042520891615
2020-03-22,2111,0.12111316687200073,0.060556583436000365
2020-03-22,2112,0.061762093882359814,0.030881046941179907
2020-03-22,2113,0.02863865294502008,0.014319326472510038
2020-03-22,2114,0.0751667022313301,0.03758335111566505
2020-03-22,2115,0.0681623059935342,0.0340811529967671
2020-03-22,2116,0.0006384497373220832,0.00031922486866104165
2020-03-22,2201,0.0,0.0
2020-03-22,2202,0.0,0.0
2020-03-22,2203,0.0,0.0
2020-03-22,2204,0.0,0.0
2020-03-22,2205,0.0,0.0
2020-03-22,2206,0.0,0.0
2020-03-22,2207,0.0,0.0
2020-03-22,2301,0.200179582345223,0.0
2020-03-22,2302,0.0587322722307604,0.0
2020-03-22,2303,0.04899885521331592,0.0
2020-03-22,2304,0.03938764185087889,0.0
2020-03-22,2305,0.1385819926174216,0.0
2020-03-22,2306,0.08693189571101377,0.0
2020-03-22,2307,0.16464762572957325,0.0
2020-03-22,2308,0.13559417035356955,0.0
2020-03-22,2309,0.07535799521993826,0.0
2020-03-22,2310,0.05158796872830538,0.0
2020-03-22,2401,0.09646548916252676,0.0
2020-03-22,2402,0.14521434320261425,0.0
2020-03-22,2403,0.1249905794660305,0.0
2020-03-22,2404,0.11176734549704458,0.0
2020-03-22,2405,0.05252731512557944,0.0
2020-03-22,2406,0.13994173465928106,0.0
2020-03-22,2407,0.10947013684190708,0.0
2020-03-22,2408,0.05935190563650624,0.0
2020-03-22,2409,0.1602711504085101,0.0
2020-03-22,2501,0.0,0.0
2020-03-22,2502,0.0,0.0
2020-03-22,2503,0.0,0.0
2020-03-22,2504,0.0,0.0
2020-03-22,2505,0.0,0.0
2020-03-22,2601,0.2402723451414661,0.0
2020-03-22,2602,0.11691525726583653,0.0
2020-03-22,2603,0.16149461997515013,0.0
2020-03-22,2604,0.09302454747575582,0.0
2020-03-22,2605,0.22010336531086366,0.0
2020-03-22,2606,0.3907351227361096,0.0
2020-03-22,2607,0.26345463134882585,0.0
2020-03-22,2608,0.059301998171318066,0.0
2020-03-22,2609,0.1239444408656035,0.0
2020-03-22,2610,0.16726646386926994,0.0
2020-03-22,2611,0.1634872078398009,0.0
2020-03-22,2701,0.4696364362913827,0.0
2020-03-22,2702,0.04743755457654932,0.0
2020-03-22,2703,0.03163721640689319,0.0
2020-03-22,2704,0.07419247265745141,0.0
2020-03-22,2705,0.07330241359022376,0.0
2020-03-22,2706,0.038024268533745166,0.0
2020-03-22,2707,0.01949386285936508,0.0
2020-03-22,2708,0.02941617458166213,0.0
2020-03-22,2709,0.007371841539507578,0.0
2020-03-22,2710,0.05876411181715095,0.0
2020-03-22,2711,0.08234491044134337,0.0
2020-03-22,2712,0.01179969385742197,0.0
2020-03-22,2713,0.012526669749504345,0.0
2020-03-22,2714,0.009437402229583848,0.0
2020-03-22,2715,0.0270951250816096,0.0
2020-03-22,2716,0.007519845786605589,0.0
2020-03-22,2801,0.0,0.0
2020-03-22,2802,0.0,0.0
2020-03-22,2803,0.0,0.0
2020-03-22,2804,0.0,0.0
2020-03-22,2805,0.0,0.0
2020-03-22,2806,0.0,0.0
2020-03-22,2807,0.0,0.0
2020-03-22,2808,0.0,0.0
2020-03-22,2809,0.0,0.0
2020-03-22,2810,0.0,0.0
2020-03-22,2811,0.0,0.0
2020-03-22,2901,0.0,0.0
2020-03-22,2902,0.0,0.0
2020-03-22,2903,0.0,0.0
2020-03-22,2904,0.0,0.0
2020-03-22,2905,0.0,0.0
2020-03-22,2906,0.0,0.0
2020-03-22,2907,0.0,0.0
2020-03-22,2908,0.0,0.0
2020-03-22,2909,0.0,0.0
2020-03-22,2910,0.0,0.0
2020-03-22,2911,0.0,0.0
2020-03-22,2912,0.0,0.0
2020-03-22,2913,0.0,0.0
2020-03-22,2914,0.0,0.0
2020-03-22,3001,0.0,0.0
2020-03-22,3002,0.0,0.0
2020-03-22,3003,0.0,0.0
2020-03-22,3004,0.0,0.0
2020-03-22,3005,0.0,0.0
2020-03-22,3006,0.0,0.0
2020-03-22,3007,0.0,0.0
2020-03-22,3008,0.0,0.0
2020-03-22,3009,0.0,0.0
2020-03-22,3010,0.0,0.0
2020-03-22,3011,0.0,0.0
2020-03-22,3012,0.0,0.0
2020-03-22,3013,0.0,0.0
2020-03-22,3101,0.1270663378482038,0.0
2020-03-22,3102,0.14791140380124493,0.0
2020-03-22,3103,0.06309917227718168,0.0
2020-03-22,3104,0.1885447593096991,0.0
2020-03-22,3105,0.19874339701234053,0.0
2020-03-22,3106,0.16299475551521447,0.0
2020-03-22,3107,0.11164017423611547,0.0
2020-03-22,3201,1.868331109288561,0.0
2020-03-22,3202,6.435107676026716,0.0
2020-03-22,3203,1.7401043743065991,0.0
2020-03-22,3204,0.7899789415427322,0.0
2020-03-22,3205,0.718773297203519,0.0
2020-03-22,3206,1.2083644730480911,0.0
2020-03-22,3207,1.4886700575389131,0.0
2020-03-22,3208,1.1112750195924943,0.0
2020-03-22,3209,0.6289736325379647,0.0
2020-03-22,3210,0.5472633264319656,0.0
2020-03-22,3211,1.0577071304043426,0.0
2020-03-22,3212,0.9132091311233168,0.0
2020-03-22,3213,0.6361006006576225,0.0
2020-03-22,3214,2.193286643157868,0.0
2020-03-22,3215,0.3730706568105051,0.0
2020-03-22,3216,0.2897839303287901,0.0
2020-03-22,3301,0.4562521050005808,0.0
2020-03-22,3302,0.1698500268686735,0.0
2020-03-22,3303,0.12261857616738392,0.0
2020-03-22,3304,0.12173887262209425,0.0
2020-03-22,3305,0.0880819922317059,0.0
2020-03-22,3306,0.2923579452071348,0.0
2020-03-22,3307,0.1122021391586424,0.0
2020-03-22,3308,0.14357206197946354,0.0
2020-03-22,3309,0.10972066208443712,0.0
2020-03-22,3310,0.17361679763335056,0.0
2020-03-22,3311,0.20998882104653305,0.0
2020-03-22,3401,0.0,0.0
2020-03-22,3402,0.0,0.0
2020-03-22,3403,0.0,0.0
2020-03-22,3404,0.0,0.0
2020-03-22,3405,0.0,0.0
2020-03-23,0101,1.6377619502166778,0.0
2020-03-23,0102,0.06640252631420898,0.0
2020-03-23,0103,0.02257478448038194,0.0
2020-03-23,0104,0.03976450871138165,0.0
2020-03-23,0105,0.026969716144429185,0.0
2020-03-23,0106,0.042000645589879815,0.0
2020-03-23,0107,0.011615929133388079,0.0
2020-03-23,0108,0.02574421365252425,0.0
2020-03-23,0109,0.0071556554704770405,0.0
2020-03-23,0110,0.016285080343308892,0.0
2020-03-23,0111,0.010133218509955478,0.0
2020-03-23,0112,0.012262051647836886,0.0
2020-03-23,0113,0.015991233020984173,0.0
2020-03-23,0114,0.036541530147330616,0.0
2020-03-23,0115,0.0287969566172352,0.0
2020-03-23,0201,0.17427446921849515,0.0
2020-03-23,0202,0.1027578371935636,0.0
2020-03-23,0203,0.054507643386823776,0.0
2020-03-23,0204,0.15147372581076213,0.0
2020-03-23,0205,0.24664696037746164,0.0
2020-03-23,0206,0.1846598601479444,0.0
2020-03-23,0207,0.08567950386494934,0.0
2020-03-23,0301,0.0,0.0
2020-03-23,0302,0.0,0.0
2020-03-23,0303,0.0,0.0
2020-03-23,0304,0.0,0.0
2020-03-23,0305,0.0,0.0
2020-03-23,0306,0.0,0.0
