adm2,"[0, 5)","[5, 10)","[10, 15)","[15, 20)","[20, 25)","[25, 30)","[30, 35)","[35, 40)","[40, 45)","[45, 50)","[50, 55)","[55, 60)","[60, 65)","[65, 70)","[70, 75)","[75, 120)"
72109,762,970,1011,1084,1185,997,997,943,943,1213,1213,1299,1243,1013,1013,1444
72111,1220,1431,1404,1347,1655,1393,1393,1243,1243,1382,1382,1387,1304,971,971,1255
72113,7411,8212,8626,9912,10727,9095,9095,8230,8230,8514,8514,8903,9693,8040,8040,12682
72115,1120,1006,1856,1605,1648,1490,1490,1527,1527,1618,1618,1646,1388,1331,1331,1832
72117,585,696,805,833,819,718,718,929,929,999,999,975,955,943,943,1421
72119,2208,3061,2795,3489,3684,3193,3193,3259,3259,3471,3471,3607,2460,2817,2817,3762
72121,1100,1162,1535,1566,1580,1301,1301,1423,1423,1416,1416,1378,1528,1379,1379,2164
72123,1429,1827,1849,2222,2008,1722,1722,1821,1821,1788,1788,1770,1717,1506,1506,2135
72125,1504,1783,1752,2241,2377,1769,1769,1766,1766,1960,1960,2188,1895,2028,2028,3327
72127,15949,18467,17536,22165,24055,21744,21744,20500,20500,22280,22280,22430,22412,18378,18378,35785
72129,1678,2257,2091,2574,2635,2396,2396,2389,2389,2662,2662,2478,2714,1868,1868,2814
72131,1704,2178,2266,2497,2342,2095,2095,2340,2340,2367,2367,2473,2715,2396,2396,3390
72133,1097,1254,1758,1717,1629,1339,1339,1680,1680,1440,1440,1117,1206,1020,1020,1328
72135,3359,4139,5297,5620,5534,4861,4861,5195,5195,5479,5479,4663,4212,2881,2881,3748
72137,3786,4576,4776,5528,5564,5296,5296,5219,5219,5138,5138,5270,4601,4116,4116,6086
72139,2991,3683,4582,4632,4742,4292,4292,4542,4542,4596,4596,4274,4181,3431,3431,4970
72141,1361,1564,1906,1962,1974,1738,1738,1639,1639,1933,1933,2075,2069,1702,1702,2466
72143,1857,2139,2765,2652,2661,2455,2455,2447,2447,2428,2428,2374,2191,1836,1836,2751
72145,2536,2612,3689,3621,3674,3354,3354,3314,3314,3546,3546,3392,3455,2826,2826,4311
72147,489,543,566,346,545,513,513,526,526,538,538,644,655,519,519,788
72149,1239,1360,1483,1863,1760,1398,1398,1320,1320,1522,1522,1834,1325,1131,1131,1385
72151,1466,2098,1965,2333,2371,1963,1963,2091,2091,2322,2322,2263,2559,1904,1904,2531
72153,1618,2037,2158,2360,2290,2071,2071,2227,2227,2444,2444,2827,2269,2133,2133,3126
78010,3785,3673,3920,3988,2689,2693,2676,3026,3294,3414,3490,3307,3557,2910,1866,2313
78020,227,222,246,211,209,289,277,298,297,371,330,380,322,225,127,139
78030,3488,3255,3318,3364,2997,2992,3190,3346,3860,3945,4078,3501,3492,2719,1724,2365
